,trial_start,cue_onset,isi,target_onset,response_onset
45_EXP_100_EXP,1,25,49,73,97
45_EXP_100_UEX,2,26,50,74,98
45_EXP_160_EXP,3,27,51,75,99
45_EXP_160_UEX,4,28,52,76,100
45_UEX_100_EXP,5,29,53,77,101
45_UEX_100_UEX,6,30,54,78,102
45_UEX_160_EXP,7,31,55,79,103
45_UEX_160_UEX,8,32,56,80,104
45_neutral_100_EXP,9,33,57,81,105
45_neutral_100_UEX,10,34,58,82,106
45_neutral_160_EXP,11,35,59,83,107
45_neutral_160_UEX,12,36,60,84,108
135_EXP_100_EXP,13,37,61,85,109
135_EXP_100_UEX,14,38,62,86,110
135_EXP_160_EXP,15,39,63,87,111
135_EXP_160_UEX,16,40,64,88,112
135_UEX_100_EXP,17,41,65,89,113
135_UEX_100_UEX,18,42,66,90,114
135_UEX_160_EXP,19,43,67,91,115
135_UEX_160_UEX,20,44,68,92,116
135_neutral_100_EXP,21,45,69,93,117
135_neutral_100_UEX,22,46,70,94,118
135_neutral_160_EXP,23,47,71,95,119
135_neutral_160_UEX,24,48,72,96,120
